Clubname;Adresse;Koordinaten;Link
Baketown Berlin;Kolonnenstr. 27, 10829 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/211580
Balcony Club Berlin;Alexanderstraße 7 Eingang:, Otto-Braun-Straße, 10178 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/213190
Ballhaus Berlin;Chausseestrasse 102 / 10115 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/27400
Ballhaus Mitte;Ackerstraße 144, D-10115 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/57114
Ballhaus Naunynstraße;"Naunynstrasse 27; Kreuzberg; 10997 Berlin; Germany";Nicht in Liste verfügbar;https://ra.co/clubs/5829
Ballhaus Ost;"Pappelallee 15; Prenzlauer Berg; 10437 Berlin; Germany";Nicht in Liste verfügbar;https://ra.co/clubs/5912
Ballhaus Prinzenallee;Prinzenallee 33, Berlin, Germany 13359;Nicht in Liste verfügbar;https://ra.co/clubs/272419
Ballhaus Rixdorf;Kottbusser Damm 76, 10967 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/90875
Bang Bang Berlin Gallery;Choriner Str. 34, 10435 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/54482
Bang Bang Club;"Neue Promenade 10; 10178 Berlin; Germany";Nicht in Liste verfügbar;https://ra.co/clubs/9990
Bangaluu Club;InvalidenStrasse ,30  BERLIN;Nicht in Liste verfügbar;https://ra.co/clubs/60172
Banja Luka;Falckensteinstraße 1-2, 10997 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/51255
Bankert;Proskauer Str. 5, 10247 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/247035
Bar 111;Schönhauser Allee 10/ 11, 10119 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/77039
Bar 13:20;Reichenberger Straße 149, 10999 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/99697
Bar 1820;Rosa-Luxemburg-Straße 41, 10178 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/93209
Bar 21;Schönhauser allee 36-39, 10435 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/152439
Bar 7000;"Skalitzer Strasse 54; Kreuzberg; 10997 Berlin; Germany";Nicht in Liste verfügbar;https://ra.co/clubs/33729
Bar am Lützowplatz;Lützowpl. 7, 10785 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/101773
Bar Babette;Karl-Marx-Allee 36, 10178 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/124146
Bar Bobu;Müggelstraße 9, 10247 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/123412
BAR BOX - Hotel Generator;Oranienburger Str. 65, Berlin, Germany 10117;Nicht in Liste verfügbar;https://ra.co/clubs/272150
Bar In A Jar;Mariannenstraße 29, 10999 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/143374
Bar Jeder Vernunft;Schaperstr. 24, 10719 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/137337
Bar Kneipe Café | Liberación;Kinzigstr. 9, 10247 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/29728
Bar Neiro;Ohmstraße 11, 10179 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/211146
Bar Neun;Pücklerstraße 34, 10997 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/262552
Bar Ohne Namen;Oppelner Str. 44  10997, Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/90679
BAR SAINT JEAN;Steinstraße 21, 10119 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/91517
Bar Saül;Spreewaldplatz 2, 10999 Berlin;Nicht in Liste verfügbar;https://ra.co/clubs/74237
Bar Voyage;ollendorfstraße 1, 10783 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/208175
Bar131;Chausseestraße 131A, 10115 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/208656
Bar23;Lychener Str. 23, 10437 Berlin, Germany;Nicht in Liste verfügbar;https://ra.co/clubs/17846
